iter	Passed	Remaining
223	529	1834
224	531	1831
225	534	1829
226	536	1825
227	537	1821
228	539	1816
229	541	1811
230	542	1806
231	544	1801
232	546	1797
233	548	1793
234	549	1789
235	551	1784
236	552	1779
237	554	1774
238	555	1770
239	557	1764
240	559	1762
241	561	1759
242	563	1754
243	564	1750
244	566	1745
245	567	1740
246	569	1735
247	570	1730
248	572	1725
249	573	1721
250	576	1719
251	578	1718
252	580	1715
253	582	1711
254	584	1707
255	585	1702
256	587	1698
257	589	1694
258	591	1691
259	593	1689
260	595	1685
261	597	1681
262	598	1676
263	600	1673
264	602	1669
265	603	1665
266	605	1663
267	607	1659
268	609	1656
269	613	1657
270	614	1653
271	616	1650
272	619	1649
273	621	1645
274	622	1641
275	624	1638
276	627	1638
277	629	1635
278	631	1631
279	632	1626
280	634	1622
281	635	1618
282	638	1616
283	640	1614
284	642	1612
285	644	1608
286	645	1604
287	647	1600
288	648	1596
289	650	1592
290	651	1588
291	655	1589
292	658	1589
293	660	1585
294	662	1582
295	663	1578
296	665	1575
297	666	1571
298	669	1568
299	671	1566
300	672	1562
301	674	1558
302	676	1555
303	677	1551
304	679	1547
305	680	1543
306	682	1541
307	685	1540
308	688	1538
309	690	1536
310	692	1533
311	693	1529
312	695	1525
313	696	1522
314	699	1520
315	701	1518
316	703	1516
317	705	1512
318	706	1508
319	708	1505
320	710	1501
321	712	1499
322	714	1497
323	716	1495
324	719	1494
325	720	1490
326	722	1487
327	724	1484
328	726	1480
329	728	1478
330	730	1476
331	733	1475
332	735	1472
333	736	1468
334	738	1465
335	739	1461
336	741	1458
337	742	1454
338	744	1452
339	747	1450
340	749	1447
341	750	1443
342	751	1440
343	753	1436
344	755	1433
345	756	1430
346	761	1432
347	763	1431
348	765	1427
349	766	1423
350	768	1420
351	769	1417
352	771	1414
353	773	1411
354	775	1409
355	777	1406
356	778	1402
357	780	1399
358	782	1396
359	783	1392
360	784	1389
361	786	1385
362	788	1384
363	791	1382
364	793	1380
365	795	1377
366	796	1374
367	798	1371
368	800	1368
369	801	1365
370	803	1363
371	806	1360
372	808	1359
373	810	1356
374	811	1352
375	813	1350
376	815	1347
377	817	1344
378	819	1342
379	821	1340
380	823	1337
381	825	1334
382	826	1331
383	828	1328
384	829	1325
385	831	1322
386	833	1320
387	835	1318
388	837	1316
389	839	1313
390	841	1310
391	842	1306
392	844	1303
393	845	1300
394	847	1298
395	849	1295
396	852	1294
397	854	1291
398	855	1288
399	857	1286
400	858	1283
401	860	1280
402	862	1277
403	864	1275
404	866	1272
405	867	1269
406	869	1267
407	871	1264
408	872	1261
409	874	1258
410	876	1256
411	878	1253
412	880	1252
413	883	1250
414	885	1247
415	886	1244
416	888	1242
417	890	1240
418	892	1238
419	895	1236
420	897	1234
421	899	1231
422	900	1228
423	902	1226
424	904	1223
425	906	1220
426	907	1218
427	910	1216
428	911	1213
429	913	1210
430	915	1208
431	916	1205
432	918	1202
433	920	1200
434	924	1200
435	926	1198
436	928	1196
437	930	1193
438	931	1190
439	933	1188
440	934	1185
441	936	1182
442	938	1180
443	940	1178
444	942	1175
445	943	1172
446	945	1169
447	946	1166
448	948	1163
449	949	1160
450	951	1158
451	953	1155
452	955	1153
453	956	1150
454	957	1147
455	959	1144
456	960	1141
457	962	1139
458	964	1136
459	965	1133
460	967	1130
461	969	1128
462	971	1126
463	973	1124
464	974	1121
465	976	1118
466	977	1115
467	978	1112
468	980	1109
469	981	1106
470	983	1104
471	985	1102
472	987	1100
473	988	1097
474	990	1094
475	991	1091
476	993	1088
477	994	1085
478	995	1083
479	997	1080
480	998	1077
481	1000	1075
482	1002	1072
483	1003	1070
484	1005	1067
485	1006	1065
486	1008	1062
487	1009	1059
488	1011	1056
489	1013	1054
490	1015	1052
491	1017	1050
492	1018	1047
493	1020	1045
494	1021	1042
495	1023	1039
496	1024	1036
497	1026	1034
498	1027	1031
499	1029	1029
500	1032	1028
501	1034	1026
502	1035	1023
503	1037	1020
504	1038	1018
505	1040	1015
506	1042	1013
507	1043	1010
508	1045	1008
509	1048	1007
510	1049	1004
511	1051	1002
512	1053	999
513	1054	997
514	1056	994
515	1058	992
516	1061	992
517	1064	990
518	1065	987
519	1067	985
520	1069	983
521	1072	981
522	1077	982
523	1081	982
524	1084	981
525	1087	979
526	1092	980
527	1096	979
528	1098	977
529	1101	976
530	1104	975
531	1108	975
532	1111	973
533	1112	971
534	1114	968
535	1116	966
536	1119	965
537	1122	963
538	1125	962
539	1128	961
540	1130	959
541	1133	957
542	1137	956
543	1139	955
544	1141	953
545	1143	951
546	1146	949
547	1148	947
548	1152	946
549	1155	945
550	1157	942
551	1158	940
552	1160	938
553	1162	936
554	1165	934
555	1169	933
556	1171	931
557	1173	929
558	1175	927
559	1176	924
560	1178	922
561	1182	921
562	1184	919
563	1186	916
564	1188	914
565	1189	912
566	1191	909
567	1193	907
568	1197	907
569	1200	905
570	1201	902
571	1203	900
572	1205	898
573	1207	895
574	1208	893
575	1211	892
576	1214	890
577	1215	887
578	1218	886
579	1220	883
580	1221	881
581	1223	878
582	1227	877
583	1228	875
584	1230	873
585	1232	870
586	1233	868
587	1235	865
588	1237	863
589	1239	861
590	1242	859
591	1245	858
592	1247	856
593	1249	854
594	1251	851
595	1252	849
596	1254	847
597	1257	845
598	1259	842
599	1260	840
600	1261	837
601	1263	835
602	1265	833
603	1267	830
604	1269	828
605	1272	827
606	1274	825
607	1276	822
608	1277	820
609	1279	817
610	1280	815
611	1282	813
612	1286	811
613	1288	810
614	1291	808
615	1293	806
616	1294	803
617	1296	801
618	1298	799
619	1301	797
620	1303	795
621	1305	793
622	1306	790
623	1308	788
624	1309	785
625	1311	783
626	1313	781
627	1315	779
628	1317	777
629	1319	774
630	1320	772
631	1322	769
632	1323	767
633	1325	764
634	1326	762
635	1328	760
636	1331	758
637	1333	756
638	1336	754
639	1337	752
640	1339	749
641	1340	747
642	1343	745
643	1344	743
644	1347	741
645	1349	739
646	1351	737
647	1352	734
648	1354	732
649	1356	730
650	1358	728
651	1360	725
652	1362	724
653	1364	721
654	1365	719
655	1367	717
656	1368	714
657	1370	712
658	1372	710
659	1374	708
660	1376	705
661	1377	703
662	1379	701
663	1380	698
664	1382	696
665	1383	694
666	1385	691
667	1386	689
668	1389	687
669	1391	685
670	1393	683
671	1394	680
672	1395	678
673	1397	675
674	1399	673
675	1400	671
676	1402	669
677	1404	666
678	1406	664
679	1407	662
680	1409	660
681	1410	657
682	1412	655
683	1414	653
684	1415	650
685	1417	648
686	1419	646
687	1421	644
688	1422	642
689	1424	639
690	1425	637
691	1427	635
692	1428	632
693	1430	630
694	1432	628
695	1434	626
696	1435	624
697	1437	621
698	1439	620
699	1441	617
700	1443	615
701	1444	613
702	1446	611
703	1448	608
704	1450	606
705	1452	604
706	1454	602
707	1456	600
708	1457	598
709	1459	596
710	1460	593
711	1462	591
712	1464	589
713	1466	587
714	1468	585
715	1470	583
716	1471	580
717	1473	578
718	1475	576
719	1476	574
720	1479	572
721	1481	570
722	1483	568
723	1485	566
724	1487	564
725	1488	561
726	1490	559
727	1492	557
728	1494	555
729	1496	553
730	1498	551
731	1499	549
732	1501	546
733	1503	544
734	1505	542
735	1506	540
736	1508	538
737	1511	536
738	1513	534
739	1514	532
740	1515	529
741	1517	527
742	1519	525
743	1520	523
744	1521	520
745	1524	518
746	1526	517
747	1528	514
748	1529	512
749	1531	510
750	1533	508
751	1534	506
752	1536	504
753	1537	501
754	1540	499
755	1542	497
756	1543	495
757	1545	493
758	1547	491
759	1549	489
760	1551	487
761	1552	484
762	1554	482
763	1556	480
764	1558	478
765	1559	476
766	1561	474
767	1562	472
768	1564	469
769	1565	467
770	1567	465
771	1569	463
772	1572	461
773	1573	459
774	1575	457
775	1576	455
776	1578	452
777	1579	450
778	1580	448
779	1582	446
780	1584	444
781	1586	442
782	1588	440
783	1589	437
784	1590	435
785	1592	433
786	1593	431
787	1595	429
788	1596	426
789	1598	424
790	1600	422
791	1602	420
792	1603	418
793	1605	416
794	1606	414
795	1608	412
796	1610	410
797	1612	408
798	1614	406
799	1616	404
800	1619	402
801	1620	400
802	1622	398
803	1623	395
804	1625	393
805	1626	391
806	1628	389
807	1630	387
808	1632	385
809	1634	383
810	1635	381
811	1637	379
812	1638	376
813	1640	374
814	1641	372
815	1643	370
816	1645	368
817	1647	366
818	1649	364
819	1650	362
820	1652	360
821	1654	358
822	1655	356
823	1657	353
824	1658	351
825	1660	349
826	1663	347
827	1665	345
828	1666	343
829	1668	341
830	1669	339
831	1671	337
832	1672	335
833	1674	333
834	1676	331
835	1678	329
836	1679	327
837	1681	325
838	1682	322
839	1684	320
840	1685	318
841	1687	316
842	1689	314
843	1692	312
844	1693	310
845	1694	308
846	1696	306
847	1697	304
848	1699	302
849	1701	300
850	1702	298
851	1704	296
852	1706	294
853	1708	292
854	1710	290
855	1711	287
856	1713	285
857	1715	283
858	1716	281
859	1717	279
860	1720	277
861	1761	281
862	1763	279
863	1768	278
864	1771	276
865	1774	274
866	1776	272
867	1778	270
868	1781	268
869	1785	266
870	1789	265
871	1791	262
872	1795	261
873	1797	259
874	1799	257
875	1802	255
876	1805	253
877	1808	251
878	1809	249
879	1813	247
880	1816	245
881	1821	243
882	1825	241
883	1826	239
884	1829	237
885	1831	235
886	1833	233
887	1835	231
888	1837	229
889	1838	227
890	1840	225
891	1841	223
892	1843	220
893	1845	218
894	1847	216
895	1849	214
896	1851	212
897	1852	210
898	1853	208
899	1855	206
900	1857	204
901	1859	202
902	1863	200
903	1865	198
904	1867	196
905	1869	193
906	1870	191
907	1872	189
908	1877	187
909	1879	185
910	1881	183
911	1882	181
912	1884	179
913	1885	177
914	1888	175
915	1890	173
916	1892	171
917	1894	169
918	1896	167
919	1897	165
920	1899	162
921	1901	160
922	1902	158
923	1904	156
924	1907	154
925	1908	152
926	1910	150
927	1912	148
928	1913	146
929	1914	144
930	1916	142
931	1918	139
932	1920	137
933	1922	135
934	1924	133
935	1925	131
936	1926	129
937	1928	127
938	1930	125
939	1931	123
940	1933	121
941	1935	119
942	1937	117
943	1939	115
944	1941	112
945	1942	110
946	1943	108
947	1945	106
948	1946	104
949	1948	102
950	1950	100
951	1952	98
952	1954	96
953	1956	94
954	1957	92
955	1959	90
956	1960	88
957	1961	86
958	1963	83
959	1965	81
960	1967	79
961	1969	77
962	1970	75
963	1972	73
964	1973	71
965	1975	69
966	1976	67
967	1978	65
968	1981	63
969	1984	61
970	1985	59
971	1987	57
972	1988	55
973	1990	53
974	1991	51
975	1993	49
976	1995	46
977	1997	44
978	1999	42
979	2000	40
980	2001	38
981	2003	36
982	2004	34
983	2006	32
984	2007	30
985	2009	28
986	2011	26
987	2013	24
988	2014	22
989	2016	20
990	2017	18
991	2019	16
992	2021	14
993	2022	12
994	2023	10
995	2025	8
996	2028	6
997	2029	4
998	2031	2
999	2032	0
